Usuario,Texto,Fecha,Num.Retweets,Num.Favoritos
luisjoseph326,"Para que pasen mejor la cuarentena aquí les dejo unas fotografías... _____________________________ #naranjo #costarica #coronavirus #cuarentena en Naranjo, Alajuela, Costa Rica https://www.instagram.com/p/B-bcIRAlSlv/?igshid=1qpwaip0cfdel",Wed Apr 01 06:48:01 +0000 2020,0,0
ZonaInfinitoCR,#yosoytico #DeEstaSalimosJuntos #QuedateEnCasa #CostaRica Costa Rica #COVIDー19 #coronavirus ,Wed Apr 01 06:29:46 +0000 2020,0,0
Noticias_crc,"#Coronavirus #SARS-CoV-2 #Ecuador Igual que en China, cuerpos tirados en las calles, infectados por el #Coronavirus ahora Esto está pasando en Ecuador. Vídeo de la ciudad de Guayaquil 30 de marzo. #CostaRica mira esto!! https://www.eltiempo.com/amp/mundo/latinoamerica/cifras-de-contagiados-y-fallecimientos-en-ecuador-por-el-coronavirus-479274?__twitter_impression=true",Wed Apr 01 04:36:48 +0000 2020,2,2
YairNoaj,"#PERIODISTA #Hondureño INDIGNADO, #POLITICOS de #IZQUIERDA y #DERECHA #ESCONDIDOS FRENTE a #CORONAVIRUS #Argentina #Bolivia #Brasil #Chile #Colombia #CostaRica #Cuba #Ecuador #ElSalvador #Guatemala #Haiti #Honduras #México #Nicaragua #Paraguay #Panamá #Perú #Uruguay #Venezuela",Wed Apr 01 04:36:22 +0000 2020,0,1
YairNoaj,. https://www.instagram.com/p/B-UuOv0pfbd/?igshid=15wwiyri3ck53 #Autoridades que miran por su gente #Turquia desinfectando las calles #Coronavirus. #Argentina #Bolivia #Brasil #Chile #Colombia #CostaRica #Cuba #Ecuador #ElSalvador #Guatemala #Honduras #México #Nicaragua #Paraguay #Panamá #Perú #Uruguay #Venezuela,Wed Apr 01 03:54:44 +0000 2020,1,0
fazokal,¿Se pueden imaginar cómo estaría Costa Rica si Fabricio hubiera quedado de presidente y cuáles hubieran sido sus acciones con respecto al #coronavirus? #CostaRica ,Wed Apr 01 03:25:09 +0000 2020,0,6
Carolinamunnoz,"Hoy mi profesora que es #doctora, nos contó la situación real del #coronavirus en #CostaRica y la exposición a la que están sometidos todo el personal de #salud incluyendo ella, que está embarazada, nos mostró sus manos quemadas por el alcohol y los productos. ( abro hilo)",Wed Apr 01 02:13:39 +0000 2020,0,3
ricardo93393160,"si haces ziim en la calculadora, te vas a dar cuenta el ministro de economía que teníamos en la década ganada. Decí que ahora esta de gobernador.#coronavirus #argentina #chile #uruguay #paraguay #bolivia #costarica #puertorico #nicaragua #panama #peru #mexico #eeuu #cordoba",Wed Apr 01 01:33:15 +0000 2020,0,0
IPMasticard,#ALERTA ✓ #URGENTE✓ #ULTIMAHORA!!!✓ @opsoms @msaludcr @CarlosAlvQ @asambleacr @presidenciacr La Caja Costarricense del Seguro Social de #CostaRica @CCSSdeCostaRica NEGÓ ATENCIÓN MEDICA a un Adulto Mayor Positivo con #COVID19 #coronavirus ,Wed Apr 01 01:08:47 +0000 2020,0,0
JaviQuirosV, LA IMPORTANCIA DEL PERIODISMO QUE INVESTIGA Y CUESTIONA Conra nos dicen que no nos informemos con estos medios... Ojalá sea una terrible situación aislada. #COSTARICA #Coronavirus #Covid19 https://twitter.com/crhoycom/status/1245125823872499712,Wed Apr 01 00:57:09 +0000 2020,0,0
CyberLeyton,Asi con #EEUU EL ASESINO UNIVERSAL #Argentina #Chile #Peru #LatinoAmerica #Uruguay #Venezuela #Paraguay #Mexico #Colombia #Bolivia #Ecuador #Brazil #Panama #Honduras #CostaRica #Guatemala #Nicaragua #Cuba #RepublicaDominicana #COVID19 #coronavirus #COVIDー19 #QuedateEnCasaYa,Wed Apr 01 00:04:13 +0000 2020,3,3
jhontxu,Paises de Latinoamérica con mas casos positivos de #Coronavirus #Brasil 5717 #Chile 2738 #Ecuador 2240 #RepDominicana 1109 #Mexico 1094 #Panama 1075 #Peru 1065 #Argentina 1054 #Colombia 906 #CostaRica 347 #Uruguay 320 #Cuba 186 #Honduras 141 #Venezuela 135 @jaimesancristo,Tue Mar 31 23:33:35 +0000 2020,4,3
