ID,Usuario,Texto,Fecha,Num.Retweets,Num.Favoritos,Mentions,Hashtags,URLs
1245059391847530496,PUSCenExterior,Lamentamos mucho conocer esta noticia. A la familia y amigos de Silvia nuestro más sentido pésame. #CostaRica #ticos #ticosenelextranjero #coronavirus #salud #COVID19 #QuédateEnLaCasa,Tue Mar 31 18:44:25 +0000 2020,0,0,,#CostaRica #ticos #ticosenelextranjero #coronavirus #salud #COVID19 #Qu,https://www.lateja.cr/nacional/tica-de-24-anos-muere-por-covid-19-en-utah/Z2XOLMC3IBBYZPEDXXJSCUMIIE/story/?utm_campaign=socialflow&utm_source=socialflow&utm_medium=social
1245056865064628224,kar_ba,No se si seremos el único país con este tipo de noticias en medio del #coronavirus #costarica #cuarentena,Tue Mar 31 18:34:23 +0000 2020,0,0,,#coronavirus #costarica #cuarentena,https://twitter.com/Telenoticias7/status/1244844996613767168
1245048724046274561,ExpatExchange,Will expats in Costa Rica lose their residency if they leave the country? A Shocking Statement from the country's Ministry for Public Security has expats talking: https://bit.ly/2ya9XWr @usembassysjo @usambassadorcr #expat #costarica #coronavirus #michaelsoto,Tue Mar 31 18:02:02 +0000 2020,0,0,@usembassysjo @usambassadorcr,#expat #costarica #coronavirus #michaelsoto,https://bit.ly/2ya9XWr
1245035063059918849,JHLAWYER,Imaginemos por un momento que el gobierno nos impuso estas normas desde el 1 ero de Marzo de 2020. No hubiese sido necesario el #QuédateenCasa que muy pocos acataron. ¿Donde estaríamos hoy ? #COVIDー19 #Coronavirus #CostaRica ,Tue Mar 31 17:07:45 +0000 2020,0,1,,#Qu #COVID #Coronavirus #CostaRica,
1245016360981344257,NoticiasONU,Muchos jóvenes piensan que el #COVID19 no les afecta y no siguen recomendaciones para evitar el contagio. Más de 50 músicos en #CostaRica se están uniendo a la ONU para educarles sobre el #coronavirus con conciertos para pasar la cuarentena. ,Tue Mar 31 15:53:26 +0000 2020,31,91,,#COVID19 #CostaRica #coronavirus,https://news.un.org/es/story/2020/03/1472052
1245010463794085888,FocusGamingNews,Government steps in to assist lottery vendors amid the on-going Coronavirus crisis. #CostaRica #Lottery #Coronavirus ,Tue Mar 31 15:30:00 +0000 2020,0,0,,#CostaRica #Lottery #Coronavirus,https://bit.ly/3bGNAq8
1245008246450073600,BiggieNews," Niña de 12 años con coronavirus falleció, la mas joven de Europa Clic aquí https://bit.ly/2w1xSqg #USA #Espana #QuedateEnCasa #BelgiumLockdown #Belgica #Coronavirus #ElSalvador #Honduras #Nicaragua #costarica #Panama #Colombia #LoUltimo #COVID2019 #Covid_19",Tue Mar 31 15:21:11 +0000 2020,1,0,,#USA #Espana #QuedateEnCasa #BelgiumLockdown #Belgica #Coronavirus #ElSalvador #Honduras #Nicaragua #costarica #Panama #Colombia #LoUltimo #COVID2019 #Covid_19,https://bit.ly/2w1xSqg
1244987114145615873,TheCRNews,Health Minister Daniel Salas reported on Monday that the number of confirmed cases of the COVID-19 coronavirus in the country totaled 330.. Follow @TheCRNews Hashtag #TCRN #tcrn #pandemic #covid19 #coronavirus #health #costarica #optimism #quarantine #goodvibe,Tue Mar 31 13:57:13 +0000 2020,1,2,@TheCRNews,#TCRN #tcrn #pandemic #covid19 #coronavirus #health #costarica #optimism #quarantine #goodvibe,
1244982674235764739,RutaDeLuz,#RecesoAlCoronavirus #Cuarentena #Coronavirus/ #España #Belice #México #PuertoRico #Guatemala #CostaRica #Honduras #Panamá #Ecuador #Perú #Chile #Argentina #Bolivia #Nicaragua #Uruguay #Paraguay #Colombia #Dominicana #Brasil #ElSalvador #QuedateEnCasa #Hoy,Tue Mar 31 13:39:34 +0000 2020,3,2,,#RecesoAlCoronavirus #Cuarentena #Coronavirus #Espa #Belice #M #PuertoRico #Guatemala #CostaRica #Honduras #Panam #Ecuador #Per #Chile #Argentina #Bolivia #Nicaragua #Uruguay #Paraguay #Colombia #Dominicana #Brasil #ElSalvador #QuedateEnCasa #Hoy,https://www.youtube.com/watch?v=zFb-V1LcHuA&fbclid=IwAR3ygtqzBs6ticRMyOlMdai7oDOIYddCKqUOIqyLhqHU85tB84jTfkYIkgA
1244956434321850368,SuhCR1,#CostaRica #QuedateEnCasa #COVID19 #coronavirus #clasesonline #clasesvirtuales #ClasesDeGuitarraSuh #sanjosé #Heredia,Tue Mar 31 11:55:18 +0000 2020,0,0,,#CostaRica #QuedateEnCasa #COVID19 #coronavirus #clasesonline #clasesvirtuales #ClasesDeGuitarraSuh #sanjos #Heredia,
1244954501511077888,dayanabenavides,#coronavirus 4 pacientes recuperados #CostaRica #QuedateEnCasa,Tue Mar 31 11:47:37 +0000 2020,0,0,,#coronavirus #CostaRica #QuedateEnCasa,https://twitter.com/msaludcr/status/1244736682131361792
1244925291321065473,chrisdaviscng,"here, #Bogota, we have been in quarantine for a week, you can’t go out meanwhile, #CostaRica, try surfing, get shot at https://www.instagram.com/p/B-THoy1Hwd_/ #covid19 #coronavirus #stayhome",Tue Mar 31 09:51:33 +0000 2020,1,0,,#Bogota #CostaRica #covid19 #coronavirus #stayhome,https://www.instagram.com/p/B-THoy1Hwd_/
1244901215391055872,Sport24ur,"Policist v #CostaRica streljal na bežečega deskarja, ki ni spoštoval karantene. Gre za nekdanjega olimpijca, ki se brani, da je zbežal zato, ker se je ustrašil pištole -&gt; https://bit.ly/2JnZXv0 #deskanje #surfing #Kostarika #karantena #covid19 #covid-19 #koronavirus #coronavirus",Tue Mar 31 08:15:53 +0000 2020,0,0,,#CostaRica #deskanje #surfing #Kostarika #karantena #covid19 #covid #koronavirus #coronavirus,https://bit.ly/2JnZXv0
1244901002660151296,fromAlias,quando potrò andare di nuovo in vacanza? #borsa #costarica #coronavirus ,Tue Mar 31 08:15:02 +0000 2020,0,0,,#borsa #costarica #coronavirus,
1244890276495331329,PalasTati,#puravida #costarica #porfavor #nopanico #periodista #coronavirus #PandemiaMundial,Tue Mar 31 07:32:25 +0000 2020,0,0,,#puravida #costarica #porfavor #nopanico #periodista #coronavirus #PandemiaMundial,https://twitter.com/projectcamelot/status/1244749457696026624
1244877814186336257,AnnaMietta,"Beh #Grillo potrebbe partecipare con i #soldi che ha in #Costarica dove ha anche #società di #lusso, se non ricordo male 15, intestate al suo #autista #coronavirus",Tue Mar 31 06:42:54 +0000 2020,0,0,,#Grillo #soldi #Costarica #societ #lusso #autista #coronavirus,
1244845618654326789,mariamalia2010,#CostaRica #QuedateEnCasa #COVIDー19 #coronavirus ,Tue Mar 31 04:34:58 +0000 2020,1,0,,#CostaRica #QuedateEnCasa #COVID #coronavirus,
1244834265654755328,nikkipava,May #costarica 's Ministry of Health follow the steps of the #czechrepublic 's and advise everyone to wear masks. This country is not acting fast enough to stop the spread. Shelter-in-place would be the most effective path for this country. #Masks4All #coronavirus,Tue Mar 31 03:49:51 +0000 2020,0,0,,#costarica #czechrepublic #Masks4All #coronavirus,
1244801448082321408,superstereo981,#CostaRica reportó hasta el lunes 330 contagiados con #COVID19. El ministro de salud ve inviable que se declare toque de queda en este país para evitar que la gente salga a la calle y reducir el número de infectados por #coronavirus Vía @VOANoticias,Tue Mar 31 01:39:27 +0000 2020,0,0,@VOANoticias,#CostaRica #COVID19 #coronavirus,
1244781387531640832,H2OStewards,"Quédate en casa y si sales, sigue estos consejos al volver . . . #covid_19 #coronavirus #healthy #costarica #water #waterresistant",Tue Mar 31 00:19:44 +0000 2020,1,1,,#covid_19 #coronavirus #healthy #costarica #water #waterresistant,
1244765121517420546,tribunapr,Confusão! https://bit.ly/2UOz3BW #campeão #surf #tiros #praia #pandemia #CostaRica #Coronavírus #Covid19 #quarentena #TribunaDoParaná #TamoJunto,Mon Mar 30 23:15:06 +0000 2020,0,1,,#campe #surf #tiros #praia #pandemia #CostaRica #Coronav #Covid19 #quarentena #TribunaDoParan #TamoJunto,https://bit.ly/2UOz3BW
1244753078143811584,MundosOcultosNF,#CostaRica informó hoy de otros 16 casos de #coronavirus elevando a 330 los contagios en todo el país. Actualmente hay 2 fallecidos en la nación por este patógeno. ,Mon Mar 30 22:27:14 +0000 2020,5,13,,#CostaRica #coronavirus,
1244747873419436033,fedealomso,"La única forma para poder distribuir la plata del subsidio por #coronavirus, que posiblemente dé el gobierno de #CostaRica a los hogares más necesitados, es usando las bases de datos por las que hace un mes atrás pedían a gritos la renuncia del presidente @CarlosAlvQ.",Mon Mar 30 22:06:33 +0000 2020,0,1,@CarlosAlvQ,#coronavirus #CostaRica,
1244743103501807621,Amilcaratb,Información Actualizada Latinoamérica 30/03/2020 23:00h #coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Perú #México #Panamá #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Honduras,Mon Mar 30 21:47:36 +0000 2020,3,2,,#coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Per #M #Panam #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Honduras,
1244726247831351296,TeLoCuentoNews,#30Mar El último reporte del Ministerio de Salud de #CostaRica indica que han confirmado 330 casos de #coronavirus. Registran dos defunciones. ,Mon Mar 30 20:40:38 +0000 2020,1,0,,#30Mar #CostaRica #coronavirus,
1244716887667286017,SuumConsulting,COVID-19 Overview Costa Rica al 30/03/20 #QuedateEnCasa #CostaRica #coronavirus #covid19 #Datavisualization #suumconsulting,Mon Mar 30 20:03:26 +0000 2020,1,2,,#QuedateEnCasa #CostaRica #coronavirus #covid19 #Datavisualization #suumconsulting,
1244708882762604544,Noticias_crc,"Hoy se reportan 330 contagiados por #coronavirus en #CostaRica. Alajuela es el cantón que más contagiados tiene, le sigue el cantón de San José. ",Mon Mar 30 19:31:37 +0000 2020,1,1,,#coronavirus #CostaRica,
1244708481199996929,JaviQuirosV,Y sí. Ya a partir de hoy en Mi Querida #COSTARICA y desde el gobierno politizaron el tema. #Coronavirus #Covid19,Mon Mar 30 19:30:02 +0000 2020,0,1,,#COSTARICA #Coronavirus #Covid19,
1244702973562949633,maurifons,¿Será que alguien le puede decir a la señora que ya es suficiente? #costarica #Coronavirus #COVID19,Mon Mar 30 19:08:09 +0000 2020,0,1,,#costarica #Coronavirus #COVID19,
1244695283449069570,Amilcaratb,Información Actualizada Latinoamérica 30/03/2020 19:30h #coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Perú #México #Panamá #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Honduras,Mon Mar 30 18:37:35 +0000 2020,6,3,,#coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Per #M #Panam #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Honduras,
1244659400054173697,FocusLATAM,"Por emergencia del covid-19, en Costa Rica aprobaron un subsidio de 200.000 colones por hasta tres meses destinado a 1800 personas que venden lotería. #CostaRica #Lotería #Coronavirus ",Mon Mar 30 16:15:00 +0000 2020,0,0,,#CostaRica #Loter #Coronavirus,https://bit.ly/33UZude
1244634304656945153,Nws_MENA,"#CostaRica - La police costaricienne a tiré sur des surfeurs professionnels qui ont violé la quarantaine en raison du #coronavirus, dont Noe Mar McGonagle, qui a été arrêté. #Covid_19 https://www.marca.com/otros-deportes/2020/03/30/5e81c96322601d17188b4587.html",Mon Mar 30 14:35:17 +0000 2020,23,18,,#CostaRica #coronavirus #Covid_19,https://www.marca.com/otros-deportes/2020/03/30/5e81c96322601d17188b4587.html
1244615751736143872,TheCRNews,COSTA RICA The number of positive cases of the disease exceeded 300 persons. Follow @TheCRNews Hashtag #Tcrn #tcrn #covid19 #coronavirus #pandemic #costarica #quarantine #stayathome,Mon Mar 30 13:21:33 +0000 2020,1,2,@TheCRNews,#Tcrn #tcrn #covid19 #coronavirus #pandemic #costarica #quarantine #stayathome,
1244614767274270726,IPMasticard,@FIFCOCR @pepsi por aquí esperando la debida compensación por los años que USURPARON la Marca® #MastiCard™ #IP en las sodas @tacobell en #CostaRica #FIFCO #COVID19 #pepsi #tacobell #Coronavirus @SecPompeo #EEUU #OMPI @FiscaliaCR @asambleacr @presidenciacr 000062,Mon Mar 30 13:17:38 +0000 2020,0,0,@FIFCOCR @pepsi @tacobell @SecPompeo @FiscaliaCR @asambleacr @presidenciacr,#MastiCard #IP #CostaRica #FIFCO #COVID19 #pepsi #tacobell #Coronavirus #EEUU #OMPI,
1244614094436663298,IPMasticard,Cómo sienten la conciencia los Accionistas de #FIFCO en #CostaRica y la Emilia Navas @FiscaliaCR cada vez que se toman una #pepsi ó al comer un #tacobell ? les remorderá el alma por haber usurpado y violentado los #DDHH de #MastiCard™ @FIFCOCR #COVID19 #coronavirus 0006,Mon Mar 30 13:14:58 +0000 2020,0,0,@FiscaliaCR @FIFCOCR,#FIFCO #CostaRica #pepsi #tacobell #DDHH #MastiCard #COVID19 #coronavirus,
1244613270415314946,IPMasticard,#ULTIMAHORA #URGENTE A todas las #Empresas a nivel mundial que tengan tecnologías para combatir al #COVID19 #coronavirus DEBEN TENER CUIDADO si hacen trato con #CostaRica porque NO RESPETA el Derecho #IP™ y su Marca® puede ser USURPADA #OMPI @WIPO #EEUU #ONU @FiscaliaCR 3,Mon Mar 30 13:11:42 +0000 2020,0,0,@WIPO @FiscaliaCR,#ULTIMAHORA #URGENTE #Empresas #COVID19 #coronavirus #CostaRica #IP #OMPI #EEUU #ONU,
1244610836586520576,ExpatExchange,Will expats in Costa Rica lose their residency if they leave the country? A Shocking Statement from the country's Ministry for Public Security has expats talking: https://bit.ly/2ya9XWr @usembassysjo @usambassadorcr #expat #costarica #coronavirus #michaelsoto,Mon Mar 30 13:02:01 +0000 2020,0,0,@usembassysjo @usambassadorcr,#expat #costarica #coronavirus #michaelsoto,https://bit.ly/2ya9XWr
1244590754166603780,marcelacanterov,#COVIDー19 #coronavirus una mirada de #CostaRica ,Mon Mar 30 11:42:13 +0000 2020,0,0,,#COVID #coronavirus #CostaRica,https://twitter.com/HasselFallas/status/1244432973446946816
1244587412128497665,balbi_daniel,Ve él video y suscribete https://youtu.be/OsvLhrgnUjs #coronavirus #videos #MeGusta #Peru #Brasil #sbv #Tendencias #argentina #paraguay #CostaRica #YoMeQuedoEnCasa #Popular #cuarentena #YouTube #China,Mon Mar 30 11:28:57 +0000 2020,0,0,,#coronavirus #videos #MeGusta #Peru #Brasil #sbv #Tendencias #argentina #paraguay #CostaRica #YoMeQuedoEnCasa #Popular #cuarentena #YouTube #China,https://youtu.be/OsvLhrgnUjs
1244477946003369986,rtapia29,"Que en las noticias anuncien esto: ""Se confirma que la coca con helado es la cura contra el #coronaviruscr #Covid_19 #CostaRica #coronavirus",Mon Mar 30 04:13:58 +0000 2020,0,0,,#coronaviruscr #Covid_19 #CostaRica #coronavirus,
1244473828513849344,andrescr13,Gracias a todos los que están en la primera línea de batalla #CostaRica #coronavirus #covid_19 #QuedateEnCasa #stayathome,Mon Mar 30 03:57:36 +0000 2020,0,0,,#CostaRica #coronavirus #covid_19 #QuedateEnCasa #stayathome,
1244471489895837700,GersonDavidsf88,En #CostaRica si no te mata el #coronavirus te mata la @fuerzapublicaCR Seguridad Pública investiga a oficial por supuestos disparos contra surfista en Garabito | Teletica,Mon Mar 30 03:48:19 +0000 2020,0,0,@fuerzapublicaCR,#CostaRica #coronavirus,https://www.teletica.com/253766_seguridad-publica-investiga-a-oficial-por-supuestos-disparos-contra-surfista-en-garabito#.XoFr1u4r7g4.twitter
1244467018067214336,andernet7,"Ironía de la vida, todavía quieren los inmigrantes hacer caravanas hacia USA ? #coronavirus #CostaRica #Centroamerica",Mon Mar 30 03:30:32 +0000 2020,0,0,,#coronavirus #CostaRica #Centroamerica,
1244460940940267520,daveparedesm,"Costa Rica , hoy reportó 314 casos de #COVID19: -incremento de 24 nuevos casos - 2 fallecidos -tasa de contagio vs. Nro de pruebas hechas se incrementa en 9.1% -Alajuela es la zona (cantón) con más infectados (55 casos) #CostaRica #Coronavirus #Covid_19",Mon Mar 30 03:06:23 +0000 2020,1,0,,#COVID19 #CostaRica #Coronavirus #Covid_19,
1244455001486962688,TraficoNi,(@colectiva_red) En Costa Rica ascienden a 314 los casos positivos de #coronavirus. #SOSNicaragua #CostaRica ,Mon Mar 30 02:42:47 +0000 2020,0,0,@colectiva_red,#coronavirus #SOSNicaragua #CostaRica,https://redcolectiva.com/2020/03/29/en-costa-rica-ascienden-a-314-los-casos-positivos-de-coronavirus/
1244454978779037702,colectiva_red,En Costa Rica ascienden a 314 los casos positivos de #coronavirus. @TraficoNi #SOSNicaragua #CostaRica https://redcolectiva.com/2020/03/29/en-costa-rica-ascienden-a-314-los-casos-positivos-de-coronavirus/,Mon Mar 30 02:42:42 +0000 2020,0,1,@TraficoNi,#coronavirus #SOSNicaragua #CostaRica,https://redcolectiva.com/2020/03/29/en-costa-rica-ascienden-a-314-los-casos-positivos-de-coronavirus/
1244433336732442624,JuanKinka,#CostaRica #coronavirus ,Mon Mar 30 01:16:42 +0000 2020,0,0,,#CostaRica #coronavirus,
1244429926599663622,mariamalia2010,Costa Rica 314 casos de coronavirus #Covid_19 #CostaRica #coronavirus #pandemia #COVIDー19,Mon Mar 30 01:03:09 +0000 2020,0,0,,#Covid_19 #CostaRica #coronavirus #pandemia #COVID,
1244403945721802753,Noticias_crc,Pueblo de las playas sacando a los desobedientes a balazos #CostaRica #QuedateEnLaCasa #coronavirus #coronaviruscr,Sun Mar 29 23:19:55 +0000 2020,1,0,,#CostaRica #QuedateEnLaCasa #coronavirus #coronaviruscr,
1244379280257298433,Amilcaratb,Información Actualizada Latinoamérica 29/03/2020 22:30h #coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Perú #México #Panamá #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Honduras,Sun Mar 29 21:41:54 +0000 2020,3,3,,#coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Per #M #Panam #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Honduras,
1244377012694900736,jhontxu,Paises de Latinoamérica con mas casos positivos de #Coronavirus #Brasil 4256 #Chile 2139 #Ecuador 1890 #Panama 901 #RDominicana 859 #Peru 852 #Mexico 848 #Argentina 745 #Colombia 702 #CostaRica 314 #Uruguay 304 #Cuba 139 #Venezuela 119 #Honduras 110 #Bolivia 81 #TrinidadyTob 78,Sun Mar 29 21:32:53 +0000 2020,0,0,,#Coronavirus #Brasil #Chile #Ecuador #Panama #RDominicana #Peru #Mexico #Argentina #Colombia #CostaRica #Uruguay #Cuba #Venezuela #Honduras #Bolivia #TrinidadyTob,
1244369737779478528,jpplusni,#Coronavirus | Se eleva la cifra de casos positivos de Covid-19 a 314 en #CostaRica. ,Sun Mar 29 21:03:59 +0000 2020,4,6,,#Coronavirus #CostaRica,
1244363616104714240,Noticias_crc,"El gobierno en este día hizo conferencia de prensa, creen que los ticos no sabemos sumar ni restar, el número de contagiados es de 905 pero están reportando de forma oficial 314 contagiados por #coronavirus #CostaRica #QuedateEnLaCasa #coronaviruscr",Sun Mar 29 20:39:39 +0000 2020,3,3,,#coronavirus #CostaRica #QuedateEnLaCasa #coronaviruscr,
1244362568132628488,GonzalezBready,ÚLTIMA HORA Se confirman 314 casos de #coronavirus en #CostaRica. ,Sun Mar 29 20:35:30 +0000 2020,0,0,,#coronavirus #CostaRica,
1244355705559187463,ElMundoDeLester,"#DatoDeInteres: Cifras #Coronavirus al 28.03.20 de #Panama, #CostaRica, #Honduras, #Guatemala, #ElSalvador y #Nicaragua. No se puede comparar entre países por diversas factores, pero permite conocer velocidad del virus entre día 1 y hoy. En total: 1,368 casos.",Sun Mar 29 20:08:13 +0000 2020,3,8,,#DatoDeInteres #Coronavirus #Panama #CostaRica #Honduras #Guatemala #ElSalvador #Nicaragua,
1244345631549906945,PUSCenExterior,#QuédateEnLaCasa #quédateencasa #ticosenelextranjero #coronavirus #salud #COVID19 #Covid_19 #cuarentena #14dias #CostaRica #ticos,Sun Mar 29 19:28:12 +0000 2020,0,0,,#Qu #qu #ticosenelextranjero #coronavirus #salud #COVID19 #Covid_19 #cuarentena #14dias #CostaRica #ticos,
1244344871349035009,Cambio2030_,"Con datos de @elpais_america. La curva actualizada de casos #Covid_19 en #México, #Chile #Argentina #Perú #Colombia #Brasil #CostaRica http://eloriente.net @El_Oriente #Coronavirus ",Sun Mar 29 19:25:10 +0000 2020,0,2,@elpais_america @El_Oriente,#Covid_19 #M #Chile #Argentina #Per #Colombia #Brasil #CostaRica #Coronavirus,http://eloriente.net
1244343816380985344,birdhouse_snaps,#naturelovers #perfection #photooftheday #bhfyp #costarica #sunday #coronavirus #socialdistancing #washyourhands #takecareofyourself #quarantine,Sun Mar 29 19:20:59 +0000 2020,0,1,,#naturelovers #perfection #photooftheday #bhfyp #costarica #sunday #coronavirus #socialdistancing #washyourhands #washyourhands #takecareofyourself #quarantine,
1244340117667491840,melimc22,"En #CostaRica nadie hace caso. La gente es bien necia, sigue saliendo. Como dice el ministro #DanielSalas , cuando esto no se pueda detener es que van andar llorando. #COVIDー19 #EnCuarentena #coronaviruscr #QuedateencasaPelotudo #QuedateEnLaCasa #coronavirus",Sun Mar 29 19:06:17 +0000 2020,0,0,,#CostaRica #DanielSalas #COVID #EnCuarentena #coronaviruscr #QuedateencasaPelotudo #QuedateEnLaCasa #coronavirus,
1244335085215760387,galacticitizen,Here it is... (w/out the swearing ) Venceremos! #coronavirus #Coronavid19 #Espana #Mexico #Guatemala #ElSalvador #Nicaragua #Honduras #CostaRica #Panama #Venezuela #Colombia #Ecuador #Peru #Bolivia #Chile #Argentina #Uruguay #Paraguay #Brasil,Sun Mar 29 18:46:17 +0000 2020,0,2,,#coronavirus #Coronavid19 #Espana #Mexico #Guatemala #ElSalvador #Nicaragua #Honduras #CostaRica #Panama #Venezuela #Colombia #Ecuador #Peru #Bolivia #Chile #Argentina #Uruguay #Paraguay #Brasil,
1244334770005385216,footnewsbe,Incroyable: Navas a dû payer 200.000 euros pour rentrer au Costa Rica #ligue1 #psg #france #bresil #coronavirus #covid19 #costarica #n http://www.footnews.be/news/189565/incroyable:_navas_a_d&#xFB;_payer_200.000_euros_pour_rentrer_au_costa_rica,Sun Mar 29 18:45:02 +0000 2020,1,0,,#ligue1 #psg #france #bresil #coronavirus #covid19 #costarica #n,http://www.footnews.be/news/189565/incroyable:_navas_a_dû_payer_200.000_euros_pour_rentrer_au_costa_rica
1244323731423531010,bit_tico,"Restricción en Costa Rica, medida tomada en contra del #coronavirus a nivel nacional, foto tomada a las 9 pm Uruca. #CostaRica ",Sun Mar 29 18:01:10 +0000 2020,0,1,,#coronavirus #CostaRica,
1244322852087660552,Amilcaratb,Información Actualizada Latinoamérica 29/03/2020 19:00h #coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Perú #México #Panamá #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Honduras,Sun Mar 29 17:57:40 +0000 2020,2,1,,#coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Per #M #Panam #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Honduras,
