tweet_id,usuario_id
776,3406
871,3406
876,3406
968,3406
979,3406
982,3406
1080,3406
1140,3406
1162,3406
1169,3406
1172,3406
1174,3406
1249,3406
1270,3406
1272,3406
1275,3406
1286,3406
1342,3406
1396,3406
1407,3406
1428,3406
1431,3406
1495,3406
1512,3406
1513,3406
1536,3406
1607,3406
1612,3406
1630,3406
1633,3406
1634,3406
1636,3406
1650,3406
1655,3406
1666,3406
1701,3406
1756,3406
1757,3406
1761,3406
1853,3406
1868,3406
1869,3406
2026,3406
2031,3406
2040,3406
2055,3406
2139,3406
2148,3406
2153,3406
2156,3406
2175,3406
2262,3406
2286,3406
2291,3406
2404,3406
2417,3406
2423,3406
2426,3406
2473,3406
2549,3406
2557,3406
2561,3406
2564,3406
2592,3406
2598,3406
2619,3406
2625,3406
2750,3406
2754,3406
2930,3406
2934,3406
3119,3406
3294,3406
3304,3406
3313,3406
3500,3406
3506,3406
3521,3406
3523,3406
3542,3406
3632,3406
3709,3406
3711,3406
3750,3406
3817,3406
3891,3406
3897,3406
3900,3406
3903,3406
3961,3406
4066,3406
4074,3406
4083,3406
4236,3406
4239,3406
4243,3406
4283,3406
4426,3406
4437,3406
4448,3406
4449,3406
4452,3406
4454,3406
4479,3406
4570,3406
4626,3406
4632,3406
4640,3406
4762,3406
4809,3406
4824,3406
4828,3406
4832,3406
4908,3406
4917,3406
5076,3406
5274,3406
5296,3406
5373,3406
5375,3406
5390,3406
5471,3406
5601,3406
5618,3406
5627,3406
5631,3406
5670,3406
5676,3406
5734,3406
5909,3406
6122,3406
6126,3406
6128,3406
6131,3406
6139,3406
6152,3406
6432,3406
6630,3406
6828,3406
6856,3406
6865,3406
6940,3406
7181,3406
7192,3406
7206,3406
7331,3406
7334,3406
7346,3406
7708,3406
7727,3406
7736,3406
7769,3406
7805,3406
7824,3406
7827,3406
7850,3406
7959,3406
8451,3406
8459,3406
8688,3406
8887,3406
8909,3406
9002,3406
9064,3406
9065,3406
9331,3406
9708,3406
10615,3406
11377,3406
11384,3406
11455,3406
11680,3406
11833,3406
11867,3406
11882,3406
11986,3406
12336,3406
12372,3406
12494,3406
12510,3406
27,6903
28,748
3771,748
29,7219
1406,7219
1601,7219
2002,7219
2115,7219
2535,7219
3282,7219
30,953
56,953
7312,953
11422,953
11580,953
31,6306
373,6306
484,6306
1129,6306
1160,6306
2904,6306
3097,6306
3274,6306
3492,6306
4020,6306
4328,6306
10462,6306
32,4620
121,4620
210,4620
271,4620
368,4620
377,4620
512,4620
638,4620
748,4620
755,4620
866,4620
972,4620
1069,4620
1165,4620
1260,4620
1378,4620
1417,4620
1499,4620
1622,4620
1749,4620
1852,4620
1985,4620
2022,4620
2142,4620
2274,4620
2413,4620
2551,4620
2739,4620
2921,4620
3101,4620
3273,4620
3445,4620
3487,4620
3562,4620
4470,4620
5403,4620
6802,4620
7535,4620
7862,4620
33,306
112,306
371,306
510,306
619,306
729,306
754,306
861,306
1362,306
1419,306
3314,306
3325,306
3532,306
4463,306
5613,306
6756,306
6833,306
6843,306
7138,306
7176,306
7559,306
7677,306
8232,306
8811,306
8859,306
8953,306
11308,306
11331,306
11335,306
11336,306
11438,306
34,2088
123,2088
213,2088
277,2088
386,2088
409,2088
522,2088
648,2088
665,2088
773,2088
884,2088
1614,2088
2011,2088
2145,2088
2410,2088
2547,2088
2743,2088
2916,2088
3502,2088
3671,2088
3883,2088
4475,2088
5359,2088
5605,2088
6123,2088
6436,2088
6619,2088
6917,2088
7164,2088
7671,2088
8259,2088
8379,2088
8873,2088
9320,2088
9557,2088
11116,2088
11362,2088
11395,2088
11707,2088
12154,2088
12317,2088
35,6150
148,6150
195,6150
204,6150
264,6150
378,6150
511,6150
746,6150
950,6150
1051,6150
1147,6150
1355,6150
1357,6150
1371,6150
1404,6150
1483,6150
1606,6150
1867,6150
2000,6150
2131,6150
2395,6150
2911,6150
3885,6150
6390,6150
6399,6150
8373,6150
9612,6150
36,5150
138,5150
3016,5150
3434,5150
12320,5150
37,418
77,418
171,418
238,418
38,2480
39,2514
40,2514
